Player,Age,Num_Stars,USG%,TRB%,AST%,TS%,PTS,AST,REB,Wins,League_Standing,WORP
James Harden,30,2,37.5,8.2,35.9,0.645,38.4,7.6,6,24,6,11.61
Giannis Antetokounmpo,25,2,37.6,20.4,32.3,0.617,30.4,5.5,12.8,32,1,10.53
Luka Dončić,20,1,36.9,15.3,48.1,0.609,29.4,8.9,9.7,22,10,10.53
LeBron James,35,2,31.3,12.3,51.5,0.563,24.9,11,7.9,29,2,9.18
Anthony Davis,26,2,30.2,14.8,14.8,0.609,27.7,3.2,9.5,29,2,7.56
Nikola Jokić,24,2,25.5,17.4,33.4,0.575,18.1,6.4,9.8,24,5,6.75
Damian Lillard,29,2,29,5.8,32.7,0.603,27.1,7.6,4.2,15,17,6.21
Jimmy Butler,30,1,25.3,10.9,29.2,0.571,20.4,6.6,6.9,26,4,5.4
Trae Young,21,1,34.8,6.7,43,0.589,28.8,8.3,4.3,8,30,4.86
Kawhi Leonard,28,4,33.3,12.3,27.2,0.559,25.3,5.1,7.6,14,7,4.59
Kemba Walker,29,3,28.5,6.4,26.1,0.584,22.5,5.2,3.9,25,3,4.32
Domantas Sabonis,23,2,23.4,20.8,18.4,0.566,17.8,4.1,13.1,22,12,4.32
Joel Embiid,25,2,31.7,22.3,36.8,0.593,23.6,3.1,12.4,23,11,3.78
Donovan Mitchell,23,2,31.2,6.9,23,0.561,25.1,4.3,4.5,23,9,3.51
Kyle Lowry,33,3,23.1,6.4,29.4,0.593,20.9,7.4,4.7,24,8,3.51
Montrezl Harrell,26,4,25.5,13,10.8,0.599,19.4,1.9,7.3,26,7,3.51
Nikola Vučević,29,2,25.5,18.1,19.5,0.532,18.4,3.4,10.8,16,15,3.51
Paul George,29,4,31,10,19.7,0.586,23.5,3.7,6,26,7,3.24
Fred VanVleet,25,3,22.8,5.5,29.6,0.534,18,7,3.9,24,8,3.24
Pascal Siakam,25,3,29.5,11.4,17.5,0.555,25.1,3.6,8,24,8,2.97
Brandon Ingram,22,2,28.8,10.6,18.9,0.597,24.9,3.8,6.8,12,25,2.97
Jaylen Brown,23,3,23.8,11.2,11.3,0.624,20.6,2.4,7.1,25,3,2.97
LaMarcus Aldridge,34,2,23.5,12.6,11.2,0.579,19.4,2.4,7.9,14,16,2.97
Zach LaVine,24,1,30.9,7.2,20.9,0.559,23.8,3.9,4.5,13,23,2.7
Khris Middleton,28,2,26.2,9.9,20.2,0.592,18.8,3.8,5.7,32,1,2.7
Bradley Beal,26,1,32.2,7.2,29,0.554,27.8,6.6,4.8,11,26,2.43
Devin Booker,23,2,29,5.8,29.8,0.623,26,6.5,3.8,14,21,2.43
Jayson Tatum,21,3,27.6,10.9,13.1,0.534,21.3,2.8,7,25,3,2.43
Devonte' Graham,24,2,25.4,5.8,36.6,0.541,19,7.9,3.8,15,20,2.43
Jamal Murray,22,2,25,7,22.5,0.544,17.9,4.7,4.1,24,5,2.43
Jrue Holiday,29,2,25.7,7.2,28.8,0.513,19.6,6.5,4.9,12,25,2.16
Tobias Harris,27,2,23.6,10.5,13.9,0.566,19.5,3,6.5,23,11,2.16
Evan Fournier,27,2,25,4.6,17.6,0.596,19,3.1,2.7,16,15,2.16
Spencer Dinwiddie,26,1,32,5,35.5,0.55,22.9,6.3,3,16,14,1.89
Danilo Gallinari,31,3,24,10,11.4,0.595,18,2.2,5.5,20,13,1.89
Russell Westbrook,31,2,32.9,11.7,32.9,0.503,24.1,7,7.9,20,6,1.62
CJ McCollum,28,2,25.8,6,16.8,0.546,22.3,3.8,4.3,15,17,1.62
DeMar DeRozan,30,2,26.5,8.1,22.9,0.583,21.6,4.9,5.2,14,16,1.62
Kelly Oubre,24,2,22,9.9,7.6,0.568,18.3,1.7,6.1,14,21,1.62
Shai Gilgeous-Alexander,21,3,25,8.2,13.1,0.555,19.9,2.8,5.3,20,13,1.35
Marcus Morris,30,2,23.9,9.1,7.9,0.585,19.1,1.5,5.5,10,28,1.35
T.J. Warren,26,2,22.3,6.3,6.2,0.58,17.8,1.3,3.8,22,12,1.35
Bojan Bogdanović,30,2,26.3,7.2,10.1,0.59,20.5,2.1,4.5,23,9,1.08
Lou Williams,33,4,28.4,5.1,32,0.552,19.6,6.3,3,26,7,1.08
Julius Randle,25,2,26.8,14.6,17.3,0.534,18.6,3.3,9.1,10,28,1.08
Terry Rozier,25,2,24.4,7.2,21.8,0.543,17.8,4.4,4.5,15,20,1.08
Andrew Wiggins,24,1,29.5,7.9,16.6,0.531,24.4,3.3,5.4,14,18,0.81
Buddy Hield,27,1,27.5,8.7,15,0.539,20.5,3.1,5.3,13,22,0.81
Dennis Schröder,26,3,28.1,6.9,20.7,0.566,18.5,3.7,3.8,20,13,0.27
Collin Sexton,21,1,26.9,5.6,12.8,0.529,18.5,2.3,3.2,10,27,-1.35
